Block_ID,Geographic_Block,Incentive_Tier,Scheme,Infrastructure_Anchor,Top_Subsidies
CBT-01,Annur,Backward,MSME 2021 / TNIP 2021,Annur Dual Use Park,25% Capital Subsidy; 50% Stamp Duty; 20% Power Subsidy
CBT-02,Kinathukadavu,Backward,MSME 2021,Industrial Corridor,25% Capital Subsidy; Highway Connectivity
CBT-03,Sultanpet,Backward,MSME 2021,Rural Engineering Cluster,25% Capital Subsidy; Rural Employment
CBT-04,Sulur,Standard,TNDIC / SIR,Varapatti Aerospace Park,37% Flexible Subsidy; Training Subsidy
CBT-05,Karamadai,Standard,TNIP 2021,Textile Machinery Hub,12% Capital Subsidy; SGST Reimbursement
CBT-06,Madukkarai,Standard,TNIP 2021,SIDCO / Logistics Hub,12% Capital Subsidy; Logistics Incentives
CBT-07,Periyanaickenpalayam,Standard,TNIP 2021,Engineering Belt,22% Ultra Mega Subsidy
CBT-08,Sarcarsamakulam,Standard,TNIP 2021,Mixed Use Zone,12% Capital Subsidy
CBT-09,Thondamuthur,Standard,TNIP 2021,Service Industry,Electricity Tax Exemption
CBT-10,Pollachi North,Standard,MSME Thrust Sector,Agro Cluster,25% MSME Subsidy
CBT-11,Pollachi South,Standard,Logistics Policy,Export Hub,Stamp Duty Rebate; Export Incentives
CBT-12,Anaimalai,Standard,MSME Policy,Agro Processing,25% Capital Subsidy
